USD
Дата: 2015-02-03T00:00:00+03:00, Объем валюты: 696.64
Дата: 2015-06-12T00:00:00+03:00, Объем валюты: 545.285
Дата: 2015-06-16T00:00:00+03:00, Объем валюты: 552.679
Дата: 2015-06-17T00:00:00+03:00, Объем валюты: 540.409
Дата: 2015-06-18T00:00:00+03:00, Объем валюты: 538.999
Дата: 2015-06-19T00:00:00+03:00, Объем валюты: 533.301
Дата: 2015-06-20T00:00:00+03:00, Объем валюты: 538.006
Дата: 2015-06-23T00:00:00+03:00, Объем валюты: 535.569
Дата: 2015-06-24T00:00:00+03:00, Объем валюты: 542.081
Дата: 2015-06-25T00:00:00+03:00, Объем валюты: 540.746
Дата: 2015-06-26T00:00:00+03:00, Объем валюты: 546.026
Дата: 2015-06-27T00:00:00+03:00, Объем валюты: 548.126
Дата: 2015-06-30T00:00:00+03:00, Объем валюты: 555.24
Дата: 2015-07-01T00:00:00+03:00, Объем валюты: 558.413
Дата: 2015-07-02T00:00:00+03:00, Объем валюты: 554.756
Дата: 2015-07-03T00:00:00+03:00, Объем валюты: 556.555
Дата: 2015-07-04T00:00:00+03:00, Объем валюты: 556.049
Дата: 2015-07-07T00:00:00+03:00, Объем валюты: 564.112
Дата: 2015-07-08T00:00:00+03:00, Объем валюты: 572.192
Дата: 2015-07-09T00:00:00+03:00, Объем валюты: 572.174
Дата: 2015-07-10T00:00:00+03:00, Объем валюты: 569.803
Дата: 2015-07-11T00:00:00+03:00, Объем валюты: 566.685
Дата: 2015-07-14T00:00:00+03:00, Объем валюты: 566.079
Дата: 2015-07-15T00:00:00+03:00, Объем валюты: 569.774
Дата: 2015-07-16T00:00:00+03:00, Объем валюты: 566.642
Дата: 2015-07-17T00:00:00+03:00, Объем валюты: 569.504
Дата: 2015-07-18T00:00:00+03:00, Объем валюты: 568.423
Дата: 2015-07-21T00:00:00+03:00, Объем валюты: 568.336
Дата: 2015-07-22T00:00:00+03:00, Объем валюты: 570.025
Дата: 2015-07-23T00:00:00+03:00, Объем валюты: 570.232
Дата: 2015-07-24T00:00:00+03:00, Объем валюты: 573.578
Дата: 2015-07-25T00:00:00+03:00, Объем валюты: 580.374
Дата: 2015-07-28T00:00:00+03:00, Объем валюты: 587.816
Дата: 2015-07-29T00:00:00+03:00, Объем валюты: 602.231
Дата: 2015-07-30T00:00:00+03:00, Объем валюты: 597.665
Дата: 2015-07-31T00:00:00+03:00, Объем валюты: 589.906
Дата: 2015-08-01T00:00:00+03:00, Объем валюты: 603.458
