CurrencyName: USD
Denomination: 24
Дата: 2015-02-03T00:00:00+03:00, Объем валюты: 1671.94
Дата: 2015-06-26T00:00:00+03:00, Объем валюты: 1310.46
Дата: 2015-06-27T00:00:00+03:00, Объем валюты: 1315.5
Дата: 2015-06-30T00:00:00+03:00, Объем валюты: 1332.58
Дата: 2015-07-01T00:00:00+03:00, Объем валюты: 1340.19
Дата: 2015-07-02T00:00:00+03:00, Объем валюты: 1331.41
Дата: 2015-07-03T00:00:00+03:00, Объем валюты: 1335.73
Дата: 2015-07-04T00:00:00+03:00, Объем валюты: 1334.52
Дата: 2015-07-07T00:00:00+03:00, Объем валюты: 1353.87
Дата: 2015-07-08T00:00:00+03:00, Объем валюты: 1373.26
Дата: 2015-07-09T00:00:00+03:00, Объем валюты: 1373.22
Дата: 2015-07-10T00:00:00+03:00, Объем валюты: 1367.53
Дата: 2015-07-11T00:00:00+03:00, Объем валюты: 1360.04
Дата: 2015-07-14T00:00:00+03:00, Объем валюты: 1358.59
Дата: 2015-07-15T00:00:00+03:00, Объем валюты: 1367.46
Дата: 2015-07-16T00:00:00+03:00, Объем валюты: 1359.94
Дата: 2015-07-17T00:00:00+03:00, Объем валюты: 1366.81
Дата: 2015-07-18T00:00:00+03:00, Объем валюты: 1364.22
Дата: 2015-07-21T00:00:00+03:00, Объем валюты: 1364.01
Дата: 2015-07-22T00:00:00+03:00, Объем валюты: 1368.06
Дата: 2015-07-23T00:00:00+03:00, Объем валюты: 1368.56
Дата: 2015-07-24T00:00:00+03:00, Объем валюты: 1376.59
Дата: 2015-07-25T00:00:00+03:00, Объем валюты: 1392.9
Дата: 2015-07-28T00:00:00+03:00, Объем валюты: 1410.76
Дата: 2015-07-29T00:00:00+03:00, Объем валюты: 1445.35
Дата: 2015-07-30T00:00:00+03:00, Объем валюты: 1434.4
Дата: 2015-07-31T00:00:00+03:00, Объем валюты: 1415.77
Дата: 2015-08-01T00:00:00+03:00, Объем валюты: 1448.3
Дата: 2015-08-04T00:00:00+03:00, Объем валюты: 1499.22
Дата: 2015-08-05T00:00:00+03:00, Объем валюты: 1510.04
Дата: 2015-08-06T00:00:00+03:00, Объем валюты: 1505.24
Дата: 2015-08-07T00:00:00+03:00, Объем валюты: 1532.75
Дата: 2015-08-08T00:00:00+03:00, Объем валюты: 1532.16
Дата: 2015-08-11T00:00:00+03:00, Объем валюты: 1547.94
Дата: 2015-08-12T00:00:00+03:00, Объем валюты: 1517.04
